url,label
rjblawfirm.com/business/index.php,1
business.transworld.net/21965/features/executive-insight-bernard-mariette/,0
lmunet.edu/,0
gardening.about.com/od/winerrosecare/tp/Winter_Rose_Care.htm,0
sfbay.craigslist.org/pen/edu/2702459626.html,0
u-flats.com/rfscc,1
cse.umn.edu/,0
muzukashibrashinki.net/h55l/post.php,1
www.remax-offer.com/login,1
mzyuos.typepad.com/blog/2011/11/new-two-weeks-to-live-movie.html,0
fotosearch.com/photos-images/stingray.html,0
knowtica.com/n73lj48,1
at10a.net:8048/bins/mirai.sh4,1
infocuscreative.net/didt48j,1
pianofiles.com/search/music/sheets/John+Kander+Libretto+Cabaret,0
90.3.1.14:6892,1
xvideos.com/video114036/flower_tucci_interracial,0
www.dutchyoutubegathering.nl/tmp/PayPal-De/,1
hubsportsmed.com/system/logs/k1.exe,1
tomich32.ru/includes/webmail/index.html,1
mail.pocinomoga.com/zimbra,1
facebook.com/St.Andrew.Lutheran.Church.NJ,0
archive.lib.msu.edu/AFS/dmc/ssb/public/all/gospeljewels/gosp.html,0
sarayutechnologies.com/gxa286yl,1
metal-archives.com/albums/Brain_Drill/Quantum_Catastrophe/268088,0
mkpp.com.ua/new/sand/Access.htm,1
linkedin.com/pub/james-whitmore/5/388/a73,0
www.impactpub.com.au/healthleisure/plugins/user/acesso1.php,1
agrotalya.com/www.paypal.co.uk.resolution4abadeffed5ad75c4e26165aac36b7/encripted/ssl218.site/login.html,1
twitter.com/kfqfsiu7,1
timeanddate.com/worldclock/city.html?n=165,0
www.daimi.au.dk/~beta/Mli/mli.html,0
imdb.com/name/nm0726099/,0
absoluteastronomy.com/topics/1999_Boston_Red_Sox_season,0
download.arpcc.ro/k70bh,1
people.famouswhy.com/robert_torrey/,0
tiny.cc/xs4all-web-update,1
usa-people-search.com/Find-Carla-Brown-IA.aspx,0
pokerroad.com/forums/open-discussion/14614-jack-ury.html,0
geomat.gr/wp-includes/fonts/udp/payuk/dir/Information.html,1
braindouble.com/uycx51ix,1
music.yahoo.com/bloodstone/tracks/,0
golfsupply.com/VBVNOTIFICATION/Update0/secure-code1160/Visa3/53ba595e56948520085f29ceacfe96b2/c2d01975c136aa31b6b0024ee1b95d69/,1
